,date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,booster_doses,booster_doses_vax_pct,booster_doses_12plus,booster_doses_12plus_vax_pct,booster_doses_18plus,booster_doses_18plus_vax_pct,booster_doses_50plus,booster_doses_50plus_vax_pct,booster_doses_65plus,booster_doses_65plus_vax_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_5pluspop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_5pluspop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,census2019,census2019_5pluspop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop
2649,2022-03-01T00:00:00.000,05123,9,St. Francis County,AR,90.4,14576,58.3,14576,62.2,14262,66.3,13660,69.1,3731,88.7,12349,49.4,12349,52.7,12204,56.8,11775,59.6,3279,77.9,4001,32.4,4000,32.8,3981,33.8,3113,46.3,1847,56.3,D,15,16,16,16,16,Non-metro,7,8,8,8,8,24994,23441,21496,19758,4208
3137,2022-03-01T00:00:00.000,05075,9,Lawrence County,AR,90.4,8923,54.4,8921,57.9,8777,62.5,8266,64.7,2821,86.3,7569,46.1,7569,49.2,7477,53.2,7054,55.2,2510,76.8,2897,38.3,2897,38.7,2870,40.7,2345,52.2,1551,61.8,C,11,11,12,12,12,Non-metro,7,7,8,8,8,16406,15399,14051,12772,3268
1102,2022-03-01T00:00:00.000,05065,9,Izard County,AR,90.4,5965,43.8,5965,45.7,5829,48.2,5466,48.9,2063,58,5099,37.4,5099,39,5012,41.5,4714,42.2,1805,50.7,2168,42.5,2168,43.3,2140,45.4,1757,56.1,1199,66.4,C,10,10,11,11,11,Non-metro,6,6,7,7,7,13629,13064,12084,11181,3558
2243,2022-03-01T00:00:00.000,05031,9,Craighead County,AR,90.4,58648,53.2,58629,57.2,56494,61.5,52203,63.1,12329,79.9,49352,44.7,49348,48.1,47847,52.1,44159,53.4,11008,71.4,18681,37.9,18679,39,18248,41.3,12277,56.2,7396,67.2,D,15,15,16,16,16,Metro,3,3,4,4,4,110332,102572,91830,82756,15424
582,2022-03-01T00:00:00.000,05029,9,Conway County,AR,90.4,12749,61.2,12748,65.1,12314,69.5,11468,71,3558,86.5,11102,53.3,11101,56.6,10767,60.7,10048,62.3,3203,77.9,4830,43.5,4830,44.9,4738,47.2,3650,59.3,2244,70.1,D,16,16,16,16,16,Non-metro,8,8,8,8,8,20846,19597,17726,16141,4113
2234,2022-03-01T00:00:00.000,05117,9,Prairie County,AR,90.4,4148,51.5,4148,54.4,4099,59,3889,60.7,1327,68.8,3436,42.6,3436,45,3406,49,3251,50.7,1148,59.5,1246,36.3,1246,36.6,1241,38.2,1025,48.6,632,55.1,C,11,11,11,12,11,Non-metro,7,7,7,8,7,8062,7632,6949,6412,1928
775,2022-03-01T00:00:00.000,05039,9,Dallas County,AR,90.4,4491,64.1,4489,67.7,4430,73,4079,73.7,1378,80.6,3915,55.9,3915,59,3887,64,3598,65,1275,74.6,1615,41.3,1615,41.5,1599,44.4,1327,57.1,896,70.3,D,16,16,16,16,16,Non-metro,8,8,8,8,8,7009,6635,6069,5538,1710
2055,2022-03-01T00:00:00.000,05069,9,Jefferson County,AR,90.4,37116,55.5,37106,59,35769,62.4,33072,63.2,9387,78.1,29293,43.8,29291,46.6,28412,49.6,26492,50.7,8028,66.8,9438,32.2,9434,33.2,9280,35.0,7242,45.8,4249,52.9,D,15,15,15,16,15,Metro,3,3,3,4,3,66824,62850,57304,52303,12014
657,2022-03-01T00:00:00.000,05113,9,Polk County,AR,90.4,8649,43.3,8646,45.9,8541,50,8138,52.8,2934,62.2,6987,35,6986,37.1,6928,40.6,6605,42.8,2408,51,2281,32.6,2281,32.9,2262,34.2,1874,43.7,1285,53.4,D,14,14,15,15,15,Non-metro,6,6,7,7,7,19964,18841,17073,15424,4717
2740,2022-03-01T00:00:00.000,05073,9,Lafayette County,AR,90.4,3240,48.9,3238,51.4,3182,54.4,3057,56.6,1059,64.7,2728,41.2,2728,43.3,2711,46.3,2615,48.4,940,57.4,968,35.5,967,35.7,964,36.9,839,47.6,551,58.6,D,15,15,15,15,15,Non-metro,7,7,7,7,7,6624,6294,5854,5401,1637
